,day,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
37,2,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.19399999999999998,59
38,2,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,74
39,2,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,76
40,2,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.19399999999999998,65
41,2,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,53
42,2,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,30
43,2,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,22
44,2,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,31
45,2,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,9
46,2,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,8
47,3,0,1,0,0,1,1,1,0.22,0.19699999999999998,0.44,0.3582,5
48,3,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,2
49,3,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,1
50,3,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,3
51,3,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,30
52,3,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.19399999999999998,64
53,3,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,154
54,3,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,88
55,3,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,44
56,3,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,51
57,3,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,61
58,3,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,61
59,3,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,77
60,3,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,72
61,3,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,76
62,3,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,157
63,3,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,157
64,3,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,110
65,3,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,52
66,3,0,1,21,0,1,1,1,0.18,0.19699999999999998,0.64,0.1343,52
67,3,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,20
68,3,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,12
69,4,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,5
70,4,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,2
71,4,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,1
72,4,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,2
73,4,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,4
74,4,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,36
75,4,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,94
76,4,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,179
77,4,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,100
78,4,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,42
79,4,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,57
80,4,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,78
81,4,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.19399999999999998,97
82,4,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,63
83,4,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,65
84,4,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,83
85,4,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,212
86,4,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.19399999999999998,182
87,4,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,112
88,4,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,54
89,4,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,48
90,4,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,35
91,4,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,11
92,5,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,6
93,5,0,1,1,0,3,1,1,0.16,0.19699999999999998,0.74,0.0896,6
94,5,0,1,2,0,3,1,1,0.16,0.19699999999999998,0.74,0.0896,2
95,5,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,2
96,5,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,3
97,5,0,1,6,0,3,1,1,0.2,0.19699999999999998,0.47,0.2239,33
98,5,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.19399999999999998,88
99,5,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,195
100,5,0,1,9,0,3,1,1,0.22,0.19699999999999998,0.37,0.3284,115
101,5,0,1,10,0,3,1,1,0.22,0.19699999999999998,0.37,0.3284,57
102,5,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,46
103,5,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,79
104,5,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,71
105,5,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.19399999999999998,62
106,5,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.19399999999999998,62
107,5,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,89
108,5,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.19399999999999998,190
109,5,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,169
110,5,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,132
111,5,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,89
112,5,0,1,21,0,3,1,1,0.2,0.19699999999999998,0.51,0.19399999999999998,43
113,5,0,1,22,0,3,1,1,0.18,0.19699999999999998,0.55,0.1343,42
114,5,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,19
115,6,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,11
116,6,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,4
117,6,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,2
118,6,0,1,4,0,4,1,2,0.16,0.19699999999999998,0.64,0.0896,1
119,6,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,4
120,6,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,36
121,6,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,95
122,6,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,219
123,6,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,122
124,6,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,45
125,6,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,59
126,6,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,84
127,6,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,67
128,6,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,70
129,6,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,62
130,6,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,86
131,6,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,172
132,6,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,163
133,6,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,112
134,6,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,69
135,6,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,48
136,6,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,52
137,6,0,1,23,0,4,1,2,0.2,0.19699999999999998,0.59,0.19399999999999998,23
138,7,0,1,0,0,5,1,2,0.2,0.19699999999999998,0.64,0.19399999999999998,17
139,7,0,1,1,0,5,1,2,0.2,0.19699999999999998,0.69,0.2239,7
140,7,0,1,2,0,5,1,2,0.2,0.19699999999999998,0.69,0.2239,1
141,7,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,1
142,7,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,5
143,7,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,34
144,7,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,84
145,7,0,1,8,0,5,1,1,0.2,0.19699999999999998,0.51,0.2537,210
146,7,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,134
147,7,0,1,10,0,5,1,1,0.22,0.19699999999999998,0.37,0.3284,63
148,7,0,1,11,0,5,1,2,0.2,0.19699999999999998,0.4,0.2239,67
149,7,0,1,12,0,5,1,2,0.2,0.19699999999999998,0.37,0.2537,59
150,7,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,73
151,7,0,1,14,0,5,1,2,0.2,0.19699999999999998,0.4,0.2537,50
152,7,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,72
153,7,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,87
154,7,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,187
155,7,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,123
156,7,0,1,19,0,5,1,1,0.16,0.19699999999999998,0.55,0.0896,95
157,7,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,51
158,7,0,1,21,0,5,1,1,0.18,0.19699999999999998,0.47,0.1343,39
159,7,0,1,22,0,5,1,2,0.18,0.19699999999999998,0.43,0.1642,36
160,7,0,1,23,0,5,1,2,0.18,0.19699999999999998,0.51,0.1642,15
161,8,0,1,0,0,6,0,2,0.18,0.19699999999999998,0.51,0.1642,25
162,8,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,16
163,8,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,16
164,8,0,1,3,0,6,0,3,0.18,0.19699999999999998,0.55,0.1642,7
165,8,0,1,4,0,6,0,3,0.18,0.19699999999999998,0.55,0.1642,1
166,8,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,5
167,8,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,2
168,8,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,9
169,8,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,15
170,8,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,20
171,8,0,1,10,0,6,0,2,0.18,0.19699999999999998,0.8,0.1642,61
172,8,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,62
173,8,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,98
174,8,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,102
175,8,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,95
176,8,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,74
177,8,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,76
178,8,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,69
179,8,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,55
180,8,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,30
181,8,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,28
182,8,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,37
183,8,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,34
184,8,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,22
185,9,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,25
186,9,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,12
187,9,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,11
188,9,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,4
189,9,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,1
190,9,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,1
191,9,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,1
192,9,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,6
193,9,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,10
194,9,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,19
195,9,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,49
196,9,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,49
197,9,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,83
198,9,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,75
199,9,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,72
200,9,0,1,15,0,0,0,1,0.22,0.19699999999999998,0.35,0.3582,82
201,9,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,92
202,9,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,62
203,9,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,48
204,9,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,41
205,9,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,38
206,9,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,20
207,9,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,15
208,9,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.19399999999999998,6
209,10,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,5
210,10,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1
211,10,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,3
212,10,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,1
213,10,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,3
214,10,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,3
215,10,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,31
216,10,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,77
217,10,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,188
218,10,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,94
219,10,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,31
220,10,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,30
221,10,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,52
222,10,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,54
223,10,0,1,14,0,1,1,2,0.2,0.19699999999999998,0.4,0.2239,47
224,10,0,1,15,0,1,1,2,0.2,0.19699999999999998,0.4,0.2239,45
225,10,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,74
226,10,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,178
227,10,0,1,18,0,1,1,1,0.2,0.19699999999999998,0.4,0.2239,155
228,10,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,95
229,10,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,74
230,10,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.19399999999999998,38
231,10,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,24
232,10,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,18
233,11,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,12
234,11,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,3
235,11,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.19399999999999998,3
236,11,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,6
237,11,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,27
238,11,0,1,7,0,2,1,2,0.16,0.2273,0.55,0.0,99
239,11,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,217
240,11,0,1,9,0,2,1,2,0.18,0.19699999999999998,0.51,0.1642,130
241,11,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,54
242,11,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,35
243,11,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,57
244,11,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,52
245,11,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,63
246,11,0,1,15,0,2,1,2,0.16,0.19699999999999998,0.8,0.0896,47
247,11,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,76
248,11,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,136
249,11,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,95
250,11,0,1,19,0,2,1,3,0.16,0.2273,0.93,0.0,51
251,11,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.19399999999999998,32
252,11,0,1,21,0,2,1,3,0.16,0.19699999999999998,0.86,0.0896,20
253,11,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,29
254,11,0,1,23,0,2,1,3,0.16,0.19699999999999998,0.93,0.0896,19
255,12,0,1,0,0,3,1,2,0.16,0.19699999999999998,0.86,0.0896,7
256,12,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,6
257,12,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,1
258,12,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,5
259,12,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,16
260,12,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,54
261,12,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,128
262,12,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,81
263,12,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,39
264,12,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,35
265,12,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,55
266,12,0,1,13,0,3,1,1,0.22,0.19699999999999998,0.44,0.3582,49
267,12,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,44
268,12,0,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,49
269,12,0,1,16,0,3,1,1,0.22,0.19699999999999998,0.44,0.3284,68
270,12,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,139
271,12,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,137
272,12,0,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,83
273,12,0,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,56
274,12,0,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,57
275,12,0,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478,33
276,12,0,1,23,0,3,1,1,0.14,0.1061,0.59,0.4179,20
277,13,0,1,0,0,4,1,1,0.14,0.1212,0.59,0.2836,7
278,13,0,1,1,0,4,1,1,0.14,0.1212,0.5,0.2836,2
279,13,0,1,2,0,4,1,1,0.14,0.1212,0.5,0.3582,2
280,13,0,1,3,0,4,1,1,0.14,0.1212,0.5,0.3284,3
281,13,0,1,4,0,4,1,1,0.14,0.1212,0.5,0.2537,4
282,13,0,1,5,0,4,1,1,0.14,0.1212,0.5,0.2985,3
283,13,0,1,6,0,4,1,1,0.12,0.1515,0.54,0.1343,28
284,13,0,1,7,0,4,1,1,0.12,0.1515,0.54,0.1343,72
285,13,0,1,8,0,4,1,1,0.14,0.1364,0.5,0.19399999999999998,202
286,13,0,1,9,0,4,1,1,0.14,0.1212,0.5,0.3284,139
287,13,0,1,10,0,4,1,2,0.16,0.1364,0.5,0.3582,38
288,13,0,1,11,0,4,1,2,0.2,0.1667,0.44,0.4478,37
289,13,0,1,12,0,4,1,1,0.2,0.1667,0.44,0.4179,52
290,13,0,1,13,0,4,1,1,0.22,0.19699999999999998,0.41,0.4478,83
291,13,0,1,14,0,4,1,1,0.22,0.19699999999999998,0.41,0.3881,42
292,13,0,1,15,0,4,1,1,0.24,0.2121,0.38,0.2985,60
293,13,0,1,16,0,4,1,1,0.24,0.2121,0.38,0.3582,78
294,13,0,1,17,0,4,1,1,0.2,0.1818,0.4,0.2836,162
295,13,0,1,18,0,4,1,1,0.2,0.1818,0.4,0.3284,144
296,13,0,1,19,0,4,1,1,0.16,0.1515,0.47,0.2537,99
297,13,0,1,20,0,4,1,1,0.16,0.1515,0.47,0.2239,64
298,13,0,1,21,0,4,1,1,0.14,0.1212,0.46,0.2985,40
299,13,0,1,22,0,4,1,1,0.14,0.1212,0.46,0.3284,30
300,13,0,1,23,0,4,1,1,0.12,0.1364,0.5,0.19399999999999998,15
301,14,0,1,0,0,5,1,1,0.12,0.1364,0.5,0.19399999999999998,14
302,14,0,1,1,0,5,1,1,0.1,0.1212,0.54,0.1642,5
303,14,0,1,2,0,5,1,1,0.1,0.1212,0.54,0.1343,1
304,14,0,1,3,0,5,1,1,0.1,0.1364,0.54,0.1045,1
305,14,0,1,5,0,5,1,1,0.1,0.1364,0.54,0.0896,8
306,14,0,1,6,0,5,1,1,0.1,0.1818,0.54,0.0,17
307,14,0,1,7,0,5,1,1,0.1,0.1212,0.74,0.1642,70
308,14,0,1,8,0,5,1,1,0.12,0.1667,0.68,0.0,158
309,14,0,1,9,0,5,1,1,0.14,0.1515,0.69,0.1343,117
310,14,0,1,10,0,5,1,1,0.18,0.1818,0.55,0.19399999999999998,44
311,14,0,1,11,0,5,1,1,0.18,0.1667,0.51,0.2836,53
312,14,0,1,12,0,5,1,1,0.2,0.19699999999999998,0.44,0.2537,61
313,14,0,1,13,0,5,1,1,0.22,0.19699999999999998,0.37,0.3881,77
314,14,0,1,14,0,5,1,1,0.22,0.2121,0.41,0.2836,64
315,14,0,1,15,0,5,1,1,0.24,0.2424,0.38,0.1642,68
316,14,0,1,16,0,5,1,1,0.22,0.2424,0.41,0.1045,90
317,14,0,1,17,0,5,1,1,0.22,0.2273,0.41,0.1642,159
318,14,0,1,18,0,5,1,1,0.2,0.2576,0.47,0.0,139
319,14,0,1,19,0,5,1,1,0.16,0.19699999999999998,0.59,0.0896,92
320,14,0,1,20,0,5,1,1,0.18,0.2424,0.59,0.0,68
321,14,0,1,21,0,5,1,1,0.16,0.2273,0.69,0.0,52
322,14,0,1,22,0,5,1,2,0.16,0.2273,0.69,0.0,36
323,14,0,1,23,0,5,1,2,0.18,0.2424,0.55,0.0,27
324,15,0,1,0,0,6,0,1,0.18,0.2424,0.55,0.0,28
325,15,0,1,1,0,6,0,2,0.16,0.19699999999999998,0.59,0.0896,20
326,15,0,1,2,0,6,0,2,0.16,0.19699999999999998,0.59,0.0896,12
327,15,0,1,3,0,6,0,2,0.16,0.2273,0.59,0.0,8
328,15,0,1,4,0,6,0,2,0.16,0.2273,0.59,0.0,5
329,15,0,1,5,0,6,0,1,0.16,0.2273,0.59,0.0,1
330,15,0,1,6,0,6,0,1,0.14,0.1667,0.63,0.1045,3
331,15,0,1,7,0,6,0,1,0.14,0.2121,0.63,0.0,10
332,15,0,1,8,0,6,0,1,0.14,0.1515,0.63,0.1343,23
333,15,0,1,9,0,6,0,1,0.16,0.1818,0.64,0.1343,33
334,15,0,1,10,0,6,0,1,0.18,0.19699999999999998,0.59,0.1642,59
335,15,0,1,11,0,6,0,1,0.2,0.19699999999999998,0.55,0.2239,72
336,15,0,1,12,0,6,0,1,0.24,0.2273,0.48,0.2239,89
337,15,0,1,13,0,6,0,1,0.28,0.2576,0.38,0.2985,101
338,15,0,1,14,0,6,0,1,0.3,0.2879,0.39,0.2836,118
339,15,0,1,15,0,6,0,2,0.32,0.3182,0.36,0.19399999999999998,129
340,15,0,1,16,0,6,0,2,0.34,0.3333,0.34,0.19399999999999998,128
341,15,0,1,17,0,6,0,2,0.32,0.303,0.36,0.2836,83
342,15,0,1,18,0,6,0,2,0.3,0.2879,0.45,0.2537,84
343,15,0,1,19,0,6,0,2,0.32,0.303,0.39,0.2537,74
344,15,0,1,20,0,6,0,2,0.32,0.303,0.39,0.2537,41
345,15,0,1,21,0,6,0,2,0.32,0.303,0.39,0.2239,57
346,15,0,1,22,0,6,0,2,0.3,0.3182,0.42,0.1045,26
347,15,0,1,23,0,6,0,1,0.3,0.2879,0.45,0.2836,44
348,16,0,1,0,0,0,0,1,0.26,0.303,0.56,0.0,39
349,16,0,1,1,0,0,0,1,0.26,0.2727,0.56,0.1343,23
350,16,0,1,2,0,0,0,1,0.26,0.2879,0.56,0.0896,16
351,16,0,1,3,0,0,0,1,0.22,0.2727,0.69,0.0,15
352,16,0,1,4,0,0,0,1,0.26,0.2576,0.56,0.1642,1
353,16,0,1,5,0,0,0,2,0.26,0.2576,0.56,0.1642,2
354,16,0,1,6,0,0,0,2,0.26,0.2576,0.56,0.1642,1
355,16,0,1,7,0,0,0,2,0.24,0.2121,0.56,0.2985,3
356,16,0,1,8,0,0,0,1,0.22,0.2121,0.55,0.2836,18
357,16,0,1,9,0,0,0,1,0.22,0.2121,0.51,0.2537,32
358,16,0,1,10,0,0,0,1,0.22,0.2121,0.51,0.2836,79
